competitionId	name	cityname	countryId	competitors	year	month	day
TibetOpen2012	Tibet Open 2012	Lhasa, Tibet	China	17	2012	8	26
HangzhouOpen2012	Hangzhou Open 2012	Hangzhou	China	43	2012	9	22
AsianChampionship2012	Asian Championship 2012	Hong Kong	Hong Kong	141	2012	10	5
ShandongOpen2012	Shandong Open 2012	Jinan, Shandong Province	China	69	2012	10	14
NanjingAutumn2012	Nanjing Autumn 2012	Nanjing	China	55	2012	10	27
WuhanOpen2012	Wuhan Open 2012	Wuhan, Hubei Province	China	68	2012	11	4
SuzhouOpen2012	Suzhou Open 2012	Suzhou	China	42	2012	11	10
BeijingWinter2012	Beijing Winter 2012	Beijing	China	85	2012	11	24
NanjingWinter2012	Nanjing Winter 2012	Nanjing	China	73	2012	11	25
GuangzhouHEMC2012	Guangzhou HEMC Cubing Movement 2012	Guangzhou, Guangdong Province	China	54	2012	12	9
TianjinWinter2012	Tianjin Winter 2012	Tianjin	China	56	2012	12	23
XianNewborn2012	Xi'an Newborn 2012	Xi'an, Shaanxi Province, China	China	49	2012	12	23
GuangzhouFMC2012	Guangzhou Fewest Moves 2012	Guangzhou	China	16	2012	12	30
MagicRevenge2012	Magic Revenge 2012	Hsinchu	Taiwan	50	2012	12	30
GuilinOpen2013	Guilin Open 2013	Guilin, Guangxi	China	32	2013	1	1
TaiwanWinterOpen2013	Taiwan Winter Open 2013	Hsinchu	Taiwan	42	2013	3	3
ZhejiangUniversity2013	Zhejiang University 2013	Hangzhou	China	79	2013	3	23
MaruCubeDay2013	MARU Cube for kid Day 2013	Tainan	Taiwan	41	2013	3	30
NanjingNormalUniversity2013	Nanjing Normal University 2013	Nanjing	China	97	2013	4	6
WeifangOpen2013	Weifang Open 2013	Weifang, Shandong Province	China	78	2013	4	14
XianCherryBlossom2013	Xi'an Cherry Blossom 2013	Xi'an	China	55	2013	4	14
SMU2013	Shanghai Maritime Open 2013	Shanghai	China	34	2013	4	20
LanzhouOpen2013	Lanzhou Open 2013	Lanzhou	China	41	2013	4	30
