name	city	value	year	month	day
WuxiOpen2013	江苏	74	2013	8	17
TaiwanSummer2013	台湾	112	2013	8	17
XiamenOpen2013	福建	76	2013	9	20
GuangdongOpen2013	广东	190	2013	10	1
HebeiUniversity2013	河北	34	2013	10	13
TaiyuanOpen2013	山西	33	2013	10	19
KaohsiungOpen2013	台湾	43	2013	10	26
DalianOpen2013	辽宁	75	2013	10	27
NanchangOpen2013	江西	36	2013	10	27
WenzhouOpen2013	浙江	41	2013	11	3
TUT2013	天津	74	2013	11	17
GuangzhouBigCubes2013	广东	30	2013	12	1
XianWinterOpen2013	陕西	51	2013	12	8
FuZhouOpen2013	福建	72	2013	12	15
BeijingWinterOpen2013	北京	74	2013	12	21
ShenyangOpen2013	辽宁	83	2013	12	29
HsinchuWinter2013	台湾	35	2013	12	29
GuangzhouSmallCubes2014	广东	87	2014	1	12
XiningWinterOpen2014	青海	39	2014	2	16
LanZhouWinter2014	甘肃	17	2014	2	18
KaohsiungWinterOpen2014	台湾	39	2014	2	22
ShanghaiSpring2014	上海	64	2014	3	2
MaruCubeKidsDay2014	台湾	39	2014	4	5
NanjingSpring2014	江苏	73	2014	4	7
ShandongSpringOpen2014	山东	72	2014	4	13
XianCherryBlossom2014	陕西	69	2014	4	13
BeijingSpring2014	北京	23	2014	4	19
CubeSplashing2014	广东	70	2014	4	20
ShanghaiMilanyuanCafe2014	上海	17	2014	4	26
HsinchuSpringOpen2014	台湾	30	2014	4	27
HefeiSpring2014	安徽	85	2014	5	1
ChengduOpen2014	四川	55	2014	5	2
FuzhouOpen2014	福建	44	2014	5	11
GuangzhouWushanOpen2014	广东	41	2014	5	18
ZhejiangUniversityOpen2014	浙江	46	2014	5	24
HarbinOpen2014	黑龙江	96	2014	5	25
ZhengzhouOpen2014	河南	42	2014	5	25
TianjinUniversityOpen2014	天津	51	2014	6	7
MingdaoCubeCarnival2014	台湾	42	2014	6	15
KaohsiungSummerOpen2014	台湾	44	2014	7	5
BeijingSummer2014	北京	93	2014	7	6
SuzhouOpen2014	江苏	153	2014	7	12
HefeiSummerOpen2014	安徽	67	2014	7	13
NantongOpen2014	江苏	77	2014	7	19
HuiZhouOpen2014	广东	62	2014	7	27
TaiwanSummerOpen2014	台湾	79	2014	8	2
ShantouOpen2014	广东	75	2014	8	3
ChongqingOpen2014	重庆	75	2014	8	9
CrossstraitCubing2014	福建	119	2014	8	9
BeijingAutumnOpen2014	北京	37	2014	9	13
MasterChallenge2014	台湾	32	2014	9	28
GuangdongOpen2014	广东	236	2014	10	1
ZunyiOpen2014	贵州	40	2014	10	5
NanjingAutumn2014	江苏	55	2014	10	18
YanglingOpen2014	陕西	31	2014	11	8
GuangzhouBigCubes2014	广东	40	2014	11	9
BUAAOpen2014	北京	60	2014	11	16
HangzhouWinterOpen2014	浙江	54	2014	11	29
CubeEliteUnionCafe2014	上海	58	2014	12	6
XianWinterOpen2014	陕西	68	2014	12	7
ShenyangOpen2014	辽宁	147	2014	12	14
HsinchuWinterOpen2014	台湾	44	2014	12	14
KaohsiungOpen2014	台湾	34	2014	12	20
XianMoreCoffee2014	陕西	27	2014	12	21
GuangzhouNewYear2015	广东	113	2015	1	1
XianNewYear2015	陕西	36	2015	1	2
DalianOpen2015	辽宁	52	2015	1	25
NanningOpen2015	广西	27	2015	2	7
KaohsiungOpen2015	台湾	37	2015	2	15
BackToCubingHongKong2015	香港	51	2015	2	28
AllIsWell2015	台湾	49	2015	3	7
GuangzhouMoreFun2015	广东	76	2015	3	15
AnHuiUniversityOpen2015	安徽	51	2015	3	29
XianCherryBlossom2015	陕西	118	2015	4	4
MaruCubeKidsDay2015	台湾	74	2015	4	5
ShanghaiFudanSpring2015	上海	77	2015	4	25
TJUOpen2015	天津	71	2015	4	26
WenzhouOpen2015	浙江	66	2015	4	26
NanjingSpring2015	江苏	132	2015	5	1
ChengduOpen2015	四川	63	2015	5	2
CubeOfPrimeNumbers2015	广东	77	2015	5	2
WuhanOpen2015	湖北	48	2015	5	10
ShowOffQuickness2015	台湾	24	2015	5	10
QinhuangdaoOpen2015	河北	71	2015	5	16
HongKongSpring2015	香港	30	2015	5	16
XianSummer2015	陕西	35	2015	5	17
FuzhouOpen2015	福建	45	2015	5	24
ZhengzhouOpen2015	河南	111	2015	5	31
HsinchuSpringOpen2015	台湾	55	2015	5	31
GuangzhouSYSUOpen2015	广东	61	2015	6	6
TaiwanCubingLeague2015	台湾	48	2015	6	13
NanchangOpen2015	江西	65	2015	6	14
TaiwanOpen2015	台湾	118	2015	7	11
ShenzhenOpen2015	广东	98	2015	7	12
HefeiOpen2015	安徽	110	2015	7	17
YangjiangOpen2015	广东	41	2015	7	23
HuizhouOpen2015	广东	74	2015	7	26
HsinchuSummerOpen2015	台湾	49	2015	7	26
QinzhouOpen2015	广西	28	2015	7	29
ShantouOpen2015	广东	105	2015	8	2
MagicRevenge2015	台湾	53	2015	8	2
WuxiOpen2015	江苏	134	2015	8	8
XiningSummerOpen2015	青海	54	2015	8	8
CrossstraitCubing2015	台湾	107	2015	8	15
HongKongSummerCubeDay2015	香港	68	2015	8	22
TwistingFingers2015	台湾	55	2015	8	22
ShanghaiSummerOpen2015	上海	56	2015	8	30
ChinaChampionship2015	广东	513	2015	10	2
BeijingOpen2015	北京	144	2015	10	24
NanjingAutumn2015	江苏	77	2015	10	24
Taichung2015	台湾	47	2015	10	25
WuhanUniversityOpen2015	湖北	74	2015	11	1
ZhenjiangOpen2015	江苏	86	2015	11	7
ZiboOpen2015	山东	95	2015	11	15
BeijingLongEvents2015	北京	8	2015	11	29
ParityOpen2015	广东	38	2015	11	29
XianOpen2015	陕西	73	2015	11	29
TianjinWinterOpen2015	天津	65	2015	12	5
